Test Loss: 0.8672096133232117
Bit-Level Accuracy: 50.75%
prediction,predicted_bits,actual_bits
"[0.3228709399700165, 0.37268728017807007, 0.13903546333312988, 0.872200608253479, 0.7327026724815369, 0.545458972454071, 0.4184698462486267, 0.5858076810836792, 0.8404586911201477, 0.6649864912033081, 0.31216540932655334, 0.5964167714118958, 0.422046035528183, 0.2756554186344147, 0.35712769627571106, 0.29580387473106384, 0.43370434641838074, 0.2856520712375641, 0.7758499383926392, 0.6675963997840881, 0.34213465452194214, 0.42083939909935, 0.797744631767273, 0.6840843558311462, 0.2530679404735565, 0.8289377689361572, 0.7667761445045471, 0.6644025444984436, 0.3913184106349945, 0.17132484912872314, 0.7306572794914246, 0.2007991522550583, 0.6531199812889099, 0.6721102595329285, 0.6106886863708496, 0.3206842541694641, 0.20223800837993622, 0.4795626699924469, 0.4704153835773468, 0.3410460650920868, 0.2561463415622711, 0.9451490640640259, 0.8661423921585083, 0.4283980429172516, 0.3590785562992096, 0.4290452301502228, 0.476583331823349, 0.47781506180763245, 0.6760793328285217, 0.4310661256313324, 0.48093733191490173, 0.8362095355987549, 0.30157148838043213, 0.5014520883560181, 0.18288561701774597, 0.38973304629325867, 0.17206862568855286, 0.6143114566802979, 0.8277634978294373, 0.634201169013977, 0.37284353375434875, 0.4440654516220093, 0.47549885511398315, 0.4597596526145935]",0001110111010000001100110111001011100000011000001001010001110000,0101010011100010011110001010011110011111101111010001001000001100
"[0.31986334919929504, 0.11105536669492722, 0.8741498589515686, 0.5623648762702942, 0.8304506540298462, 0.4582761228084564, 0.47750434279441833, 0.6654723882675171, 0.7814933061599731, 0.11727827042341232, 0.6210999488830566, 0.07815742492675781, 0.19282519817352295, 0.15618711709976196, 0.49006974697113037, 0.4253677725791931, 0.6241346597671509, 0.36968863010406494, 0.7637917995452881, 0.10513628274202347, 0.6157185435295105, 0.23057225346565247, 0.6975275278091431, 0.086219921708107, 0.8067266941070557, 0.3604138195514679, 0.06857933104038239, 0.44077029824256897, 0.20836806297302246, 0.602787435054779, 0.49250921607017517, 0.10361674427986145, 0.9087162613868713, 0.9044204354286194, 0.9542218446731567, 0.6822063326835632, 0.5835228562355042, 0.5015193223953247, 0.8880303502082825, 0.9523065090179443, 0.42969661951065063, 0.08708518743515015, 0.7292126417160034, 0.7820490002632141, 0.15119902789592743, 0.3046039342880249, 0.21841903030872345, 0.23891250789165497, 0.15413708984851837, 0.4700345993041992, 0.43694809079170227, 0.6057128310203552, 0.6742618680000305, 0.1729593127965927, 0.831897497177124, 0.24949896335601807, 0.5856342315673828, 0.2672068774700165, 0.5392132997512817, 0.2892369031906128, 0.29542818665504456, 0.1500863879919052, 0.8412262201309204, 0.9759722352027893]",0011100110100000101010101000010011111111001100000001101010100011,1010000100101000111011110010010000100001111010111011011000111001
"[0.5930514335632324, 0.16854096949100494, 0.9713476896286011, 0.01529648993164301, 0.6738322973251343, 0.5109890699386597, 0.8974596261978149, 0.28088027238845825, 0.08580324798822403, 0.18925192952156067, 0.44431036710739136, 0.13498343527317047, 0.5984339118003845, 0.5295884609222412, 0.7354452610015869, 0.5885590314865112, 0.6591213345527649, 0.7544510960578918, 0.7988607883453369, 0.6316280961036682, 0.7228281497955322, 0.44018614292144775, 0.20237009227275848, 0.9981319308280945, 0.16622933745384216, 0.4648684561252594, 0.6977247595787048, 0.6611425280570984, 0.20298467576503754, 0.4963131844997406, 0.38567250967025757, 0.2905579209327698, 0.614234447479248, 0.8154259324073792, 0.9923543930053711, 0.5577443242073059, 0.9842719435691833, 0.3639483153820038, 0.845644474029541, 0.47804945707321167, 0.900364339351654, 0.9844958782196045, 0.1504271775484085, 0.11456604301929474, 0.4714218080043793, 0.7703302502632141, 0.9624369144439697, 0.2228047102689743, 0.597937285900116, 0.31775322556495667, 0.8103266358375549, 0.2808769643306732, 0.5106473565101624, 0.22914379835128784, 0.6801679730415344, 0.6556980013847351, 0.051333237439394, 0.23788388073444366, 0.5418500304222107, 0.515559732913971, 0.35709258913993835, 0.39506274461746216, 0.5148633718490601, 0.14757229387760162]",1010111000001111111110010011000011111010110001101010101100110010,1011110001110011110101010010000011001111010000110001010101100110
"[0.2750644385814667, 0.22430400550365448, 0.632478654384613, 0.5315396785736084, 0.5921379327774048, 0.2567428648471832, 0.7216994166374207, 0.2805596590042114, 0.4626666009426117, 0.6628284454345703, 0.31351250410079956, 0.8019838333129883, 0.3705325722694397, 0.9050435423851013, 0.8332000374794006, 0.6645148992538452, 0.6389881372451782, 0.558770477771759, 0.6800835728645325, 0.4852008819580078, 0.9417378306388855, 0.5904990434646606, 0.21131378412246704, 0.9712139368057251, 0.5845144987106323, 0.3207997679710388, 0.9423385262489319, 0.5520435571670532, 0.8124129176139832, 0.7326925992965698, 0.21362923085689545, 0.24674829840660095, 0.18064649403095245, 0.6487838625907898, 0.8176785111427307, 0.3303726315498352, 0.37854108214378357, 0.1000947505235672, 0.12442948669195175, 0.5454966425895691, 0.4112885296344757, 0.34033796191215515, 0.11477316170930862, 0.20333996415138245, 0.7879041433334351, 0.319050133228302, 0.43816277384757996, 0.26108983159065247, 0.4548339545726776, 0.6093464493751526, 0.27401530742645264, 0.32825836539268494, 0.2277526706457138, 0.6685484051704407, 0.6922643780708313, 0.7183862924575806, 0.23265786468982697, 0.24426589906215668, 0.41522154211997986, 0.24979780614376068, 0.40693527460098267, 0.3839179277420044, 0.5989456176757812, 0.3164466321468353]",0011101001010111111011011011110001100001000010000100011100000010,1000101010100000001110000111101101110001000001011110011110011010
"[0.6204023957252502, 0.2596486210823059, 0.6149293780326843, 0.8526669144630432, 0.3645458221435547, 0.9003626704216003, 0.4612405002117157, 0.5427618026733398, 0.978473424911499, 0.213166281580925, 0.6079663634300232, 0.5590141415596008, 0.3309164345264435, 0.3386412262916565, 0.25875335931777954, 0.05160677060484886, 0.7403998970985413, 0.14917925000190735, 0.41921794414520264, 0.7373184561729431, 0.615466833114624, 0.515904426574707, 0.7491629123687744, 0.7385615706443787, 0.6817183494567871, 0.8107361197471619, 0.8293650150299072, 0.25023385882377625, 0.23631559312343597, 0.21480685472488403, 0.22960320115089417, 0.2560557723045349, 0.12227749824523926, 0.4532434940338135, 0.6647039651870728, 0.4236088693141937, 0.2689465582370758, 0.6758455634117126, 0.2664547860622406, 0.12610457837581635, 0.08951142430305481, 0.664910078048706, 0.8485159873962402, 0.24375411868095398, 0.39521196484565735, 0.38191187381744385, 0.4445047378540039, 0.27872416377067566, 0.9183784127235413, 0.387757807970047, 0.4549522399902344, 0.44863152503967285, 0.8694850206375122, 0.6143321394920349, 0.8003953695297241, 0.7257830500602722, 0.41635024547576904, 0.6542593240737915, 0.8461129069328308, 0.48500901460647583, 0.11342054605484009, 0.597615659236908, 0.250610888004303, 0.5055121183395386]",1011010110110000100111111110000000100100011000001000111101100101,1101000100100110100110111001101000010100011101010100010111111100
"[0.06994184106588364, 0.8591946959495544, 0.788947343826294, 0.3026708662509918, 0.7602195739746094, 0.7725687623023987, 0.42354804277420044, 0.37074971199035645, 0.417135626077652, 0.11158458888530731, 0.8086188435554504, 0.5199523568153381, 0.13713927567005157, 0.4228869378566742, 0.4250890016555786, 0.42459043860435486, 0.8332650661468506, 0.1341037005186081, 0.5944752097129822, 0.28482046723365784, 0.675590991973877, 0.8382983803749084, 0.8432472944259644, 0.2053832709789276, 0.975816547870636, 0.1397547870874405, 0.6794235706329346, 0.3499630093574524, 0.04422185197472572, 0.31577032804489136, 0.5617228746414185, 0.20657594501972198, 0.4980446696281433, 0.24797038733959198, 0.07736501842737198, 0.4254642426967621, 0.3809804320335388, 0.489953875541687, 0.0950135812163353, 0.28615453839302063, 0.23943962156772614, 0.19841928780078888, 0.7926341891288757, 0.6582256555557251, 0.3767254054546356, 0.5371119379997253, 0.5187571048736572, 0.5885219573974609, 0.5346245169639587, 0.8326575756072998, 0.4306349754333496, 0.5356228351593018, 0.7030225992202759, 0.23422609269618988, 0.5665704607963562, 0.3301357328891754, 0.5120572447776794, 0.4188382029533386, 0.4911869764328003, 0.8649075627326965, 0.22422142326831818, 0.6494766473770142, 0.6731319427490234, 0.4804020822048187]",0110110000110000101011101010001000000000001101111101101010010110,1110011101000010100011011011111010101110100111111110000100110010
"[0.754119873046875, 0.08129872381687164, 0.7828415036201477, 0.18386226892471313, 0.404387503862381, 0.8869669437408447, 0.7311448454856873, 0.46242088079452515, 0.3176839053630829, 0.2474944293498993, 0.6031237244606018, 0.12128034234046936, 0.18711921572685242, 0.3903464376926422, 0.36234050989151, 0.7279863357543945, 0.4564872980117798, 0.5246028304100037, 0.5941800475120544, 0.606795608997345, 0.32123884558677673, 0.5941101908683777, 0.2320474535226822, 0.9984477758407593, 0.13084645569324493, 0.48313337564468384, 0.28248003125190735, 0.6845669746398926, 0.44180426001548767, 0.6117046475410461, 0.631788969039917, 0.6032726168632507, 0.522126317024231, 0.40862640738487244, 0.9962871074676514, 0.789092481136322, 0.9768322110176086, 0.674108624458313, 0.9465155005455017, 0.6826115846633911, 0.5852447152137756, 0.8281246423721313, 0.5455448627471924, 0.40522438287734985, 0.33930960297584534, 0.6094610691070557, 0.8197981119155884, 0.2542867958545685, 0.523676335811615, 0.19818276166915894, 0.7176229357719421, 0.18478389084339142, 0.43240800499916077, 0.6291131973266602, 0.27830997109413147, 0.41154944896698, 0.19235648214817047, 0.3954828977584839, 0.6441686749458313, 0.5976420044898987, 0.3906034231185913, 0.30822259187698364, 0.21030491590499878, 0.6026875376701355]",1010011000100001011101010001011110111111111001101010010000110001,1010010100101100011000001101001001101111011110100110001111010101
"[0.7733513116836548, 0.13486962020397186, 0.45010584592819214, 0.5774920582771301, 0.4677574634552002, 0.7514716982841492, 0.8641204833984375, 0.7061586976051331, 0.8032304644584656, 0.6278530955314636, 0.22288896143436432, 0.5234065055847168, 0.3521692454814911, 0.3668816387653351, 0.4983265697956085, 0.35043108463287354, 0.29900017380714417, 0.8238251805305481, 0.578823447227478, 0.31528228521347046, 0.6932657361030579, 0.3188232481479645, 0.5690887570381165, 0.9948155283927917, 0.016468243673443794, 0.9063864350318909, 0.8569122552871704, 0.19758281111717224, 0.21901817619800568, 0.5482661128044128, 0.22161349654197693, 0.172930508852005, 0.40440818667411804, 0.4966857433319092, 0.34040430188179016, 0.4623810052871704, 0.7963365912437439, 0.8897441029548645, 0.5114813446998596, 0.06747826188802719, 0.022767622023820877, 0.5332855582237244, 0.13712798058986664, 0.8771971464157104, 0.7629998922348022, 0.22297266125679016, 0.7742971181869507, 0.2789803743362427, 0.3955669403076172, 0.09723211079835892, 0.15898916125297546, 0.8368245363235474, 0.4442748725414276, 0.4948045015335083, 0.41416528820991516, 0.6998103260993958, 0.2772231101989746, 0.30126261711120605, 0.8976114392280579, 0.785626232624054, 0.4104630947113037, 0.1886342465877533, 0.5227029323577881, 0.09355746954679489]",1001011111010000011010110110010000001110010110100001000100110010,0010101101100110011111011100000011101011010111000000010010110110
"[0.8472908139228821, 0.7614791989326477, 0.7526684403419495, 0.08775995671749115, 0.726606011390686, 0.8689130544662476, 0.622231125831604, 0.5368912816047668, 0.9915235042572021, 0.33217039704322815, 0.5316030979156494, 0.5850056409835815, 0.2177225798368454, 0.2179410308599472, 0.5934624075889587, 0.03797280415892601, 0.5594111084938049, 0.0072049908339977264, 0.656516432762146, 0.8854495882987976, 0.15195967257022858, 0.03183833882212639, 0.8671037554740906, 0.6444807052612305, 0.1791025698184967, 0.39786025881767273, 0.5920090079307556, 0.6600564122200012, 0.03428380936384201, 0.13646501302719116, 0.4978810250759125, 0.3538725674152374, 0.6252251863479614, 0.46618568897247314, 0.6642229557037354, 0.004168142098933458, 0.7323024868965149, 0.7878736257553101, 0.3840431869029999, 0.003710029413923621, 0.15308327972888947, 0.41600483655929565, 0.865136444568634, 0.021164389327168465, 0.12171000242233276, 0.36940574645996094, 0.7730192542076111, 0.27897199988365173, 0.3766520023345947, 0.2524178624153137, 0.1496594250202179, 0.6969491243362427, 0.4990639388561249, 0.687222957611084, 0.7847821116447449, 0.8468507528305054, 0.16181650757789612, 0.9248271584510803, 0.5386547446250916, 0.3401368260383606, 0.3572933077812195, 0.5782153010368347, 0.23727691173553467, 0.3659486770629883]",1110111110110010101100110011000010101100001000100001011101100100,0110000111000110100111100110011110111001000001001001110100010101
"[0.4430476725101471, 0.06914579123258591, 0.6296351552009583, 0.6011877059936523, 0.5307755470275879, 0.3022093176841736, 0.6492208242416382, 0.44038715958595276, 0.5419334173202515, 0.5169286727905273, 0.4229903817176819, 0.12894907593727112, 0.6732705235481262, 0.730012059211731, 0.7718911170959473, 0.8243346810340881, 0.4479188919067383, 0.9002130031585693, 0.31103307008743286, 0.06258179992437363, 0.6444351077079773, 0.3684137463569641, 0.7031823396682739, 0.7062357664108276, 0.5292116403579712, 0.4030027985572815, 0.6365792155265808, 0.327004075050354, 0.5452240705490112, 0.6898878216743469, 0.35323095321655273, 0.5403859615325928, 0.6813761591911316, 0.692078173160553, 0.9161344766616821, 0.5408263802528381, 0.7066138982772827, 0.6244310736656189, 0.8819129467010498, 0.8983758687973022, 0.4991801679134369, 0.13782615959644318, 0.10891049355268478, 0.7195388674736023, 0.6026843786239624, 0.5173178315162659, 0.6240179538726807, 0.1751168668270111, 0.521606981754303, 0.6576781272888184, 0.6774330735206604, 0.6793142557144165, 0.09234009683132172, 0.37193548679351807, 0.7007122039794922, 0.3846111595630646, 0.40395334362983704, 0.19269658625125885, 0.38847243785858154, 0.391434907913208, 0.3421839475631714, 0.4649873375892639, 0.26957935094833374, 0.41937851905822754]",0011101011001111010010111010110111111111000111101111001000000000,1010011000000010111011101111000101010010001101111110110111101111
