Test Loss: 0.22803716361522675
Bit-Level Accuracy: 87.10%
prediction,predicted_bits,actual_bits
"[5.242955375406311e-11, 1.0, 1.0, 1.0, 1.0, 0.9999234676361084, 1.4354146316009064e-08, 1.0, 1.4212088450538118e-10, 9.177808533422649e-05, 7.909049415388836e-09, 1.0, 0.39301905035972595, 0.479276180267334, 5.894388550586882e-07, 1.0, 0.24443237483501434, 0.515922486782074, 7.912598931625325e-08, 1.0, 0.6086987257003784, 0.6202511787414551, 1.0, 6.190263857064338e-10, 0.5405241847038269, 0.7021486759185791, 0.9997474551200867, 0.00031054182909429073, 0.41537895798683167, 0.5086207985877991, 8.416618220508099e-05, 3.183769149472937e-05, 1.0, 1.0, 1.0, 1.0, 0.0015433384105563164, 0.0006463967147283256, 1.0, 5.836257171987214e-11, 0.0015759397065266967, 0.0006190425483509898, 1.0, 1.0, 0.8510428071022034, 0.9999240636825562, 0.9999997615814209, 1.0, 0.6382936835289001, 2.406909698038362e-05, 1.0, 1.0, 0.49341973662376404, 6.65931511321105e-05, 7.266681336659531e-07, 1.2697484841339701e-08, 0.7709648013114929, 0.0014301987830549479, 0.9994542002677917, 0.9997664093971252, 0.7999430894851685, 0.0022251775953918695, 0.00015813436766620725, 4.862148125539534e-05]",0111110100010001010111101110010011110010001111111011000010111000,0111110100010001010101100010110011110010001111110011100000111000
"[1.0522027693582459e-08, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999996423721313, 0.9999998807907104, 9.854862703662093e-09, 2.523183972868992e-08, 0.9999995231628418, 0.9999997615814209, 0.3108343482017517, 0.23055608570575714, 0.4844161868095398, 0.9999998807907104, 0.08031054586172104, 0.7671434283256531, 0.5398759841918945, 0.9999998807907104, 0.6801191568374634, 0.6627365946769714, 0.4412856996059418, 0.9999990463256836, 0.6932469010353088, 0.6978164315223694, 0.47714588046073914, 0.9999995231628418, 0.377876877784729, 0.7740486264228821, 0.6452158689498901, 3.989540709881112e-05, 1.0, 1.0, 1.0, 1.0, 1.939691074426264e-08, 0.9999997615814209, 0.999985933303833, 7.790293743425991e-09, 1.2972491525431451e-08, 0.9999997615814209, 0.9999873638153076, 1.0, 0.7155971527099609, 0.7600647807121277, 0.9998537302017212, 1.0, 0.498992919921875, 0.23018863797187805, 0.9999889135360718, 1.0, 0.510704755783081, 0.5425646901130676, 0.9999969005584717, 0.9999995231628418, 0.6238977909088135, 0.3731202483177185, 1.0915385246335063e-05, 6.198232540555182e-07, 0.4027070105075836, 0.20167414844036102, 4.4395739678293467e-05, 3.574875881895423e-05]",0111111100110001011111011101011011110110011111110011111110000000,0111111100110001011110011101110011110110011111110111101111000100
"[2.1436078156966687e-07, 0.9999997615814209, 0.9999996423721313, 0.9999996423721313, 0.9999995231628418, 0.9998914003372192, 0.0001670747296884656, 0.9999779462814331, 6.617682970500027e-07, 9.633951412979513e-05, 0.00017071171896532178, 0.9999749660491943, 0.39039698243141174, 0.19477424025535583, 0.00032834813464432955, 0.9999896287918091, 0.2731655240058899, 0.668398916721344, 0.00013277250400278717, 0.999995231628418, 0.6262211203575134, 0.4449436366558075, 0.9999973773956299, 0.0001645308657316491, 0.5520392656326294, 0.540050745010376, 0.9984161853790283, 0.0015324128326028585, 0.5043991208076477, 0.915228545665741, 0.9935070276260376, 0.9990978240966797, 0.9999994039535522, 0.9999996423721313, 0.9999997615814209, 0.9999997615814209, 4.8661375330993906e-05, 0.9997599720954895, 0.999957799911499, 3.91554266343519e-07, 4.5949498598929495e-05, 0.9997729659080505, 0.999955415725708, 0.9999997615814209, 0.7868122458457947, 0.5314295887947083, 0.9999614953994751, 0.9999997615814209, 0.6370216608047485, 0.40186965465545654, 0.999984622001648, 0.9999996423721313, 0.5758705735206604, 0.5069554448127747, 0.00017841123917605728, 0.00016678743122611195, 0.6228822469711304, 0.39701610803604126, 0.9985116124153137, 0.9984720349311829, 0.6935862898826599, 0.5967788100242615, 0.9979846477508545, 0.9988918900489807]",0111110100010001010110101110111111110110011111111011110010111111,0111110100010001010101100110111111110110011110110011110001111011
"[0.00022003601770848036, 0.9997782111167908, 0.9998157620429993, 0.999806821346283, 0.9997377991676331, 0.9996665716171265, 0.9991188645362854, 0.00375391379930079, 0.00023297987354453653, 0.0002512023493181914, 0.99901282787323, 0.003381365444511175, 0.21405966579914093, 0.3783823549747467, 0.3158811926841736, 0.5987004637718201, 0.20963183045387268, 0.5041414499282837, 0.3934756815433502, 0.7210556864738464, 0.7001815438270569, 0.587009072303772, 0.48704615235328674, 0.30263447761535645, 0.5534879565238953, 0.5502762198448181, 0.650834858417511, 0.22549250721931458, 0.3081236481666565, 0.5509274005889893, 0.20424605906009674, 0.3228505551815033, 0.9998598098754883, 0.999816358089447, 0.9998038411140442, 0.9997592568397522, 0.00014337342872750014, 0.9941684007644653, 0.0012951683020219207, 0.00017508056771475822, 0.0001731664378894493, 0.993607759475708, 0.0013140247901901603, 0.999819815158844, 0.7614400386810303, 0.507178783416748, 0.4539264440536499, 0.9997933506965637, 0.44735750555992126, 0.3304714858531952, 0.7182549238204956, 0.9998217225074768, 0.5707159638404846, 0.3670409023761749, 0.6613603234291077, 0.9988528490066528, 0.4626752734184265, 0.36370471119880676, 0.21417155861854553, 0.9969909191131592, 0.6189197301864624, 0.6056183576583862, 0.5420228242874146, 0.003972913138568401]",0111111000100001010111001110010011110100010111010011101100011110,0111111000100001011110000111010011110100010110110101110111011110
"[1.3087766610936e-22, 1.0, 1.0, 1.0, 1.0, 1.0, 4.408320293546909e-15, 1.0, 7.572166019778486e-22, 1.3102214868609963e-09, 1.1786436355989277e-14, 1.0, 0.2452220767736435, 0.07936500757932663, 1.7769032772951832e-13, 1.0, 0.21511700749397278, 0.17032396793365479, 4.082728282512292e-14, 1.0, 0.6776255965232849, 0.8492265343666077, 1.0, 5.934081164952554e-15, 0.7419528365135193, 0.556361973285675, 0.9999998807907104, 9.431691694317124e-08, 0.5371405482292175, 0.05147341266274452, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1861316779031988e-13, 1.0, 1.0, 6.368818662292629e-22, 1.2347986673953704e-13, 1.0, 1.0, 1.0, 0.9989223480224609, 0.9004413485527039, 1.0, 1.0, 0.732994556427002, 0.17813128232955933, 1.0, 1.0, 0.20461027324199677, 0.028793198987841606, 5.6391913030471794e-14, 8.235764873624606e-15, 0.9684234857559204, 0.0048789167776703835, 0.9999997615814209, 1.0, 0.9999340772628784, 0.8010362386703491, 1.0, 1.0]",0111110100010001000111101110101111110110011111111011000010111111,0111110100011001010111101110101111110110011111110011000010111011
"[0.00017775206652004272, 0.9998100399971008, 0.9998446702957153, 0.9998365640640259, 0.9997634291648865, 0.9997360110282898, 0.9991027116775513, 0.003551105037331581, 0.0001925279648276046, 0.00018787819135468453, 0.9989972710609436, 0.0031781436409801245, 0.21660944819450378, 0.36581099033355713, 0.3095058500766754, 0.6419894695281982, 0.2016574591398239, 0.49535685777664185, 0.36207860708236694, 0.7756436467170715, 0.7187005281448364, 0.5800266265869141, 0.5206624269485474, 0.2882954180240631, 0.5412921905517578, 0.5615179538726807, 0.692785918712616, 0.19085124135017395, 0.2961583435535431, 0.5704304575920105, 0.15966331958770752, 0.27070820331573486, 0.9998859167098999, 0.9998407363891602, 0.9998372793197632, 0.9998055100440979, 0.00012047570635331795, 0.9938862919807434, 0.0014176786644384265, 0.0001429522963007912, 0.00014614059182349592, 0.9934681057929993, 0.0014397049089893699, 0.9998472929000854, 0.7640523314476013, 0.4746807813644409, 0.3959366977214813, 0.9998148083686829, 0.45079120993614197, 0.29604384303092957, 0.7841747403144836, 0.9998583793640137, 0.578191876411438, 0.36181166768074036, 0.690090000629425, 0.9988258481025696, 0.4535905420780182, 0.34765779972076416, 0.18255111575126648, 0.9977066516876221, 0.6157014966011047, 0.6322152614593506, 0.583401620388031, 0.003077007830142975]",0111111000100001000111101110010011110100010110010011101100011110,0111111000100101111101001110000011110100010100111011110111111010
"[1.7917738978314628e-15, 1.0, 1.0, 1.0, 1.0, 0.9999953508377075, 5.562707846434867e-12, 1.0, 7.816584361654451e-15, 5.7539259614713956e-06, 2.8608708284305617e-12, 1.0, 0.3262022137641907, 0.508809506893158, 1.0067510158862092e-09, 1.0, 0.21598154306411743, 0.5462113618850708, 7.519029843194858e-11, 1.0, 0.6280728578567505, 0.6651248931884766, 1.0, 8.493765180127635e-14, 0.5809093713760376, 0.7308105826377869, 0.9999809265136719, 1.8714232282945886e-05, 0.41849464178085327, 0.3990531861782074, 1.3473822036758065e-05, 3.17212061418104e-06, 1.0, 1.0, 1.0, 1.0, 7.810611714376137e-05, 0.00010663631110219285, 1.0, 2.465280499137695e-15, 8.468634041491896e-05, 0.00010051031858893111, 1.0, 1.0, 0.927540123462677, 0.9999966621398926, 1.0, 1.0, 0.6541395783424377, 9.767863957677037e-07, 1.0, 1.0, 0.45199015736579895, 3.4388501717330655e-06, 1.0802262417897168e-09, 5.3958617088345484e-12, 0.8445072770118713, 0.0001703036396065727, 0.9999555349349976, 0.9999879598617554, 0.9081315398216248, 0.00036220019683241844, 2.406797284493223e-05, 5.9306275943527e-06]",0111110100010101010111101110000011110010001111111011000010111000,0111110100010101110111100110100011110010001111110011100000111000
"[1.0994401833386291e-07, 0.9999998807907104, 0.9999998807907104, 0.9999997615814209, 0.9999997615814209, 0.9999438524246216, 0.00013454709551297128, 0.9999868869781494, 3.586721959436545e-07, 4.873967554885894e-05, 0.0001373824052279815, 0.9999849796295166, 0.40065497159957886, 0.16596876084804535, 0.00026022587553597987, 0.9999939203262329, 0.2498190551996231, 0.6663289070129395, 9.726907592266798e-05, 0.9999973773956299, 0.6385636925697327, 0.43600690364837646, 0.9999985694885254, 0.00013518740888684988, 0.5599063634872437, 0.5534144639968872, 0.9989148378372192, 0.0011675539426505566, 0.49473676085472107, 0.9365803003311157, 0.9941964149475098, 0.9992493987083435, 0.9999996423721313, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 2.8623328034882434e-05, 0.999859094619751, 0.9999755620956421, 2.0252598176284664e-07, 2.702174060686957e-05, 0.9998650550842285, 0.9999749660491943, 0.9999998807907104, 0.7838854193687439, 0.5145536661148071, 0.9999749660491943, 0.9999998807907104, 0.6287763118743896, 0.3983859121799469, 0.9999908208847046, 0.9999998807907104, 0.5688730478286743, 0.5162971615791321, 0.00015499773144256324, 0.00013438734458759427, 0.6254981160163879, 0.39953306317329407, 0.9988341927528381, 0.9988250136375427, 0.6601516604423523, 0.607740044593811, 0.998391330242157, 0.9991084933280945]",0111110100010001010110101110011111110110011111111011110010111111,0111110100010001000101100010111111110110011110110011110001111111
"[2.1803514755447395e-05, 0.9999768733978271, 0.9999773502349854, 0.9999783039093018, 0.9999740123748779, 0.9999617338180542, 0.9994159936904907, 0.9998821020126343, 1.8930581063614227e-05, 3.757677040994167e-05, 0.9993065595626831, 0.9998676776885986, 0.39764919877052307, 0.2560161054134369, 0.3944286108016968, 0.9999188184738159, 0.1778772920370102, 0.651819109916687, 0.4074362814426422, 0.999920129776001, 0.598050057888031, 0.5554698705673218, 0.847634494304657, 0.9990506768226624, 0.5342243313789368, 0.6054295897483826, 0.6931244134902954, 0.9990991353988647, 0.444243848323822, 0.7818718552589417, 0.5821306109428406, 0.003026194404810667, 0.9999759197235107, 0.9999810457229614, 0.9999822378158569, 0.9999785423278809, 3.320048563182354e-05, 0.9998507499694824, 0.9992173910140991, 1.714762402116321e-05, 3.067410216317512e-05, 0.9998236298561096, 0.999242901802063, 0.9999793767929077, 0.6035340428352356, 0.621437668800354, 0.9980771541595459, 0.9999791383743286, 0.5149466395378113, 0.3544085919857025, 0.9993072748184204, 0.9999810457229614, 0.5022867321968079, 0.47431597113609314, 0.9985860586166382, 0.9992638230323792, 0.5804128050804138, 0.4583808481693268, 0.00270730908960104, 0.0011370530119165778, 0.45858222246170044, 0.42906996607780457, 0.004298165440559387, 0.002862811554223299]",0111111100110001010111111111011011110110011111111011101110000000,0111111100111001001111111001011011110110011110110011001111000000
"[3.3367991703059374e-10, 1.0, 1.0, 1.0, 1.0, 0.9999998807907104, 0.9999998807907104, 0.9999985694885254, 1.033375274239745e-09, 8.800564188504723e-08, 0.9999998807907104, 0.9999984502792358, 0.18894006311893463, 0.15713824331760406, 0.06425019353628159, 0.9999759197235107, 0.06578836590051651, 0.5190008282661438, 0.12584277987480164, 0.9999974966049194, 0.736488401889801, 0.7286084890365601, 0.8936172723770142, 0.9999803304672241, 0.6883724927902222, 0.33668261766433716, 0.6656816005706787, 0.9999969005584717, 0.3254641592502594, 0.4553833603858948, 0.15901786088943481, 0.9999935626983643, 1.0, 1.0, 1.0, 1.0, 2.2856530002002273e-09, 0.9999998807907104, 2.3060924831952434e-06, 2.2287989509539585e-10, 1.762534007632155e-09, 0.9999998807907104, 2.686525704120868e-06, 1.0, 0.9146856069564819, 0.8253906965255737, 0.7419236898422241, 1.0, 0.6118166446685791, 0.42859798669815063, 0.9386246800422668, 1.0, 0.5118151307106018, 0.25836828351020813, 0.052344948053359985, 0.9999998807907104, 0.7265682220458984, 0.3862597644329071, 0.8504878282546997, 2.6293030259694206e-06, 0.795769989490509, 0.5910596251487732, 0.8040000796318054, 0.9999958276748657]",0111111100110001010111111011000111110100010111111011100110101111,0111111100110001001111111001000111110100010111011111000111101111
