Test Loss: 0.23227564990520477
Bit-Level Accuracy: 86.80%
prediction,predicted_bits,actual_bits
"[1.0, 0.2920365631580353, 1.0, 0.3845768868923187, 1.0, 0.7253360748291016, 1.0, 0.999891996383667, 1.497947432760327e-09, 2.271823404953466e-06, 1.0, 1.4136006143417035e-07, 1.0, 1.0, 1.0695285768136387e-09, 3.76569386784098e-10, 5.780899092755476e-10, 0.3596924841403961, 0.9996263980865479, 0.5238693356513977, 0.0008010235032998025, 0.722937285900116, 0.0009934783447533846, 0.00016957559273578227, 0.9999953508377075, 0.9999936819076538, 8.016885999495571e-07, 0.9999891519546509, 0.9999977350234985, 3.514076354349527e-07, 1.5591914426238418e-09, 0.9999959468841553, 5.213987575025669e-10, 0.5838891863822937, 0.999657392501831, 0.7513100504875183, 0.9988669157028198, 0.3389545679092407, 0.001057966030202806, 0.9991161227226257, 0.9999964237213135, 0.0016829890664666891, 0.9999991655349731, 0.9975762963294983, 2.423916498628387e-07, 0.0007739095017313957, 3.0476507428822686e-10, 0.0005062362179160118, 0.3169207274913788, 0.6185188889503479, 0.19193662703037262, 0.8487244844436646, 0.5325061678886414, 0.4163292348384857, 0.9995031356811523, 0.9978646636009216, 2.6664376946428092e-06, 0.9964749217033386, 0.9999994039535522, 0.9980081915855408, 3.706191975538786e-08, 0.9986453652381897, 2.9264126677475133e-09, 0.999298095703125]",1010111100101100001101001101100101111001101100000101101101110101,1011111100101100011101001101100100101101101100000001011101110101
"[1.0, 0.04530203714966774, 1.0, 0.559686541557312, 1.0, 0.8033843636512756, 1.0, 0.7249265313148499, 3.279218216412083e-11, 0.7434309720993042, 1.0, 1.941607115441002e-05, 1.0, 0.9999996423721313, 6.336441787935243e-11, 2.1365485769475612e-11, 6.347300723213989e-12, 0.26402580738067627, 1.0, 0.44515857100486755, 9.966104386194274e-09, 0.6997817158699036, 1.0, 0.44715166091918945, 1.1446272765169851e-06, 0.24167770147323608, 5.6654283980606124e-05, 4.956354132445995e-06, 1.0, 0.999998927116394, 1.9148901214682823e-11, 8.073216122284066e-07, 3.841282153471681e-11, 0.8503108024597168, 1.0, 0.6098835468292236, 1.0, 0.3582577705383301, 1.0, 0.5277394652366638, 7.617871347065375e-07, 0.6031558513641357, 0.9999476671218872, 7.704245945205912e-06, 3.0066984457732815e-09, 0.9999997615814209, 7.746911619144203e-12, 0.9999998807907104, 0.30344247817993164, 0.7239834070205688, 0.21048365533351898, 0.4400203227996826, 0.33721259236335754, 0.7853565216064453, 0.7814235091209412, 0.7517399191856384, 0.45205214619636536, 0.5182916522026062, 0.9974007606506348, 0.9995961785316467, 9.120000754592184e-08, 0.9996743202209473, 1.8725975631239677e-12, 0.9996899366378784]",1011111101101100001001100000110001111011011001010100011101110101,1011111001101100001100100000110001111010011001010000011001110101
"[0.9999916553497314, 0.19707942008972168, 0.99998939037323, 0.4434290826320648, 0.9999916553497314, 0.6015772819519043, 0.9999966621398926, 0.4491952061653137, 1.0576864042377565e-05, 0.0012608141405507922, 0.9999920129776001, 5.3566520364256576e-05, 0.9999973773956299, 0.9999873638153076, 6.524432592414087e-06, 3.672969796753023e-06, 3.139831960652373e-06, 0.5145754814147949, 0.999919056892395, 0.5543230772018433, 0.000247181742452085, 0.5488920211791992, 0.9981732368469238, 0.34843549132347107, 0.9986910223960876, 0.9999755620956421, 7.97310785856098e-05, 0.9986118078231812, 0.9999963045120239, 0.0013248646864667535, 7.50823664930067e-06, 0.998831570148468, 5.214567863731645e-06, 0.6207127571105957, 0.9999145269393921, 0.6318442821502686, 0.9998193383216858, 0.3896728754043579, 0.9982030391693115, 0.5556513071060181, 0.9986878037452698, 8.60538930282928e-05, 0.999944806098938, 0.9984459280967712, 1.3847444279235788e-05, 0.001051556202583015, 6.6064544625987764e-06, 0.0009333760826848447, 0.42421022057533264, 0.5104031562805176, 0.26271364092826843, 0.6664503812789917, 0.2822648286819458, 0.663428544998169, 0.5517154335975647, 0.2617019712924957, 0.0015886304900050163, 0.009764036163687706, 0.9997860789299011, 0.004571437835693359, 2.0852296074735932e-05, 0.004222928546369076, 2.59965963778086e-06, 0.003978765103965998]",1010111000101100011101101101100101111011101100000101011000100000,1011111100101100011101111101100100101010101100000001010100100000
"[0.9999992847442627, 0.13228623569011688, 0.9999994039535522, 0.5783800482749939, 0.9999988079071045, 0.5723055601119995, 0.9999995231628418, 0.5989997386932373, 7.049741839182389e-07, 0.45902135968208313, 0.9999992847442627, 0.3072448968887329, 0.9999996423721313, 0.695324718952179, 6.780530839023413e-07, 8.364719974451873e-07, 3.6391142543834576e-07, 0.21162980794906616, 0.9998241066932678, 0.578323245048523, 0.0001676244573900476, 0.5843431353569031, 0.9998372793197632, 0.3984014689922333, 0.00013301630679052323, 0.5450175404548645, 0.9999227523803711, 0.607937216758728, 0.0002004363341256976, 0.11854808032512665, 7.078036219354544e-07, 0.00011433075997047126, 6.215510666152113e-07, 0.5930430293083191, 0.999794065952301, 0.5151152014732361, 0.9998070597648621, 0.5091539621353149, 0.9998502731323242, 0.6417770385742188, 0.00012537947623059154, 0.230070099234581, 9.68117528827861e-05, 0.3039589524269104, 0.9997772574424744, 0.08026153594255447, 5.287300268719264e-07, 0.0002575505059212446, 0.18987387418746948, 0.7146642804145813, 0.15645389258861542, 0.7587948441505432, 0.36278074979782104, 0.527457594871521, 0.54201340675354, 0.4751643240451813, 0.16757991909980774, 0.7530295252799988, 0.6812305450439453, 0.5520972609519958, 0.5131151676177979, 0.44938015937805176, 4.3597043486443e-07, 0.9998016953468323]",1011111100101100001101100111000001111111000010000101011001111001,1011111001111100001100110011000000111010000011000101010001100101
"[1.0, 0.2613794803619385, 1.0, 0.43360835313796997, 1.0, 0.5921089053153992, 1.0, 0.9787293672561646, 3.2817363193257676e-13, 3.5153007171828676e-09, 1.0, 1.6869580732326028e-10, 1.0, 1.0, 2.0691417058470857e-13, 7.233025078401747e-14, 7.566262747631461e-14, 0.7025772929191589, 1.0, 0.2555215656757355, 3.4885965227715587e-09, 0.8390557765960693, 0.9997896552085876, 0.006943558808416128, 1.0, 1.0, 2.3240069590979573e-10, 1.0, 1.0, 1.4079754029339142e-09, 3.8944016197625664e-13, 1.0, 2.0028354246349328e-13, 0.6310757398605347, 1.0, 0.8525429368019104, 1.0, 0.5133115649223328, 0.9998470544815063, 0.9906468391418457, 1.0, 1.9537281514825366e-10, 1.0, 1.0, 4.148513563922984e-12, 7.49902895336163e-09, 3.477992362426602e-13, 1.0325458266180476e-09, 0.16470150649547577, 0.3829919993877411, 0.028706500306725502, 0.9489036202430725, 0.3138219714164734, 0.19815173745155334, 0.9472597241401672, 0.681727409362793, 5.329386265628955e-09, 0.0003140631888527423, 1.0, 9.510815289104357e-05, 1.1452708573167492e-11, 2.1424568330985494e-05, 2.179945406046574e-13, 2.5332890800200403e-05]",1010111100101100011001101101100101111111101100000001001100100000,1011111100101100001001101101100101111011101100001001001100100000
"[0.9998550415039062, 0.224911630153656, 0.9998669624328613, 0.5382450819015503, 0.999808132648468, 0.5649541616439819, 0.9998987913131714, 0.5813756585121155, 0.00014731049304828048, 0.4725186228752136, 0.999852180480957, 0.38560718297958374, 0.9999022483825684, 0.6173259615898132, 0.00014001165982335806, 0.0001557411451358348, 9.308564040111378e-05, 0.3127478361129761, 0.9959529638290405, 0.556605339050293, 0.0042355796322226524, 0.5571112632751465, 0.9959612488746643, 0.4354107677936554, 0.0033667886164039373, 0.5195987224578857, 0.9974660873413086, 0.5662273168563843, 0.005173497833311558, 0.24588653445243835, 0.00014694000128656626, 0.003060767659917474, 0.00012918228458147496, 0.5461865663528442, 0.9953632354736328, 0.5108892917633057, 0.9954778552055359, 0.5189380049705505, 0.9960939288139343, 0.5948771834373474, 0.0031696290243417025, 0.34164389967918396, 0.002847767900675535, 0.36517515778541565, 0.9946401715278625, 0.19596724212169647, 0.00011870169691974297, 0.006744024809449911, 0.2686369717121124, 0.6427887678146362, 0.2501102685928345, 0.6780910491943359, 0.4218910336494446, 0.5092820525169373, 0.5460224747657776, 0.5145321488380432, 0.26631924510002136, 0.6743741631507874, 0.6181492209434509, 0.5520171523094177, 0.4995501637458801, 0.4636589288711548, 0.00010489347187103704, 0.9950671195983887]",1011111100101100001101100111000001111111000010000101011101110001,1110111101101100011101110011000001111010000110000111100101100101
"[1.0, 0.2883701026439667, 1.0, 0.38211894035339355, 1.0, 0.7296193838119507, 1.0, 0.9999151229858398, 8.714465260517557e-10, 1.6044550648075528e-06, 1.0, 9.241876597343435e-08, 1.0, 1.0, 6.169918465026569e-10, 2.1171508990391885e-10, 3.2839142516394304e-10, 0.3559063971042633, 0.9996962547302246, 0.524164080619812, 0.0006646771798841655, 0.7277853488922119, 0.0008204170735552907, 0.00013445103832054883, 0.9999966621398926, 0.9999954700469971, 5.455167979562248e-07, 0.9999920129776001, 0.9999984502792358, 2.3515100622262253e-07, 9.095463271435733e-10, 0.9999971389770508, 2.956099254269873e-10, 0.5871408581733704, 0.9997219443321228, 0.7570471167564392, 0.9990498423576355, 0.3341979682445526, 0.0008774740854278207, 0.9992673993110657, 0.9999974966049194, 0.0014171999646350741, 0.9999994039535522, 0.9979374408721924, 1.6030692506774358e-07, 0.0006392938084900379, 1.6991257012488603e-10, 0.0004140061791986227, 0.31404948234558105, 0.6211293935775757, 0.1865117847919464, 0.8542008996009827, 0.5329165458679199, 0.4140859842300415, 0.9995935559272766, 0.9981743097305298, 1.8961537762152147e-06, 0.9969605803489685, 0.9999996423721313, 0.9983065128326416, 2.3466638410241103e-08, 0.998863935470581, 1.7337231650316198e-09, 0.9994186162948608]",1010111100101100001101001101100101111001101100000101101101110101,1111111100101100001101001101100100101001101100000001101101110101
"[0.9999951124191284, 0.17333221435546875, 0.9999935626983643, 0.44014137983322144, 0.9999949932098389, 0.6155778169631958, 0.9999980926513672, 0.4204041063785553, 6.477716851804871e-06, 0.0010530083673074841, 0.9999954700469971, 3.267171996412799e-05, 0.9999985694885254, 0.9999927282333374, 4.024859663331881e-06, 2.059162397927139e-06, 1.7688466869003605e-06, 0.5038189888000488, 0.9999517202377319, 0.5652355551719666, 0.00016854230489116162, 0.5364785194396973, 0.9988182187080383, 0.35342395305633545, 0.9988428354263306, 0.999983549118042, 4.9546237278264016e-05, 0.9985718727111816, 0.9999980926513672, 0.0012500910088419914, 4.315148544264957e-06, 0.9989362359046936, 3.0104613415460335e-06, 0.6331008672714233, 0.9999465942382812, 0.6364508271217346, 0.9998793601989746, 0.37296202778816223, 0.9988119602203369, 0.5290120244026184, 0.9988406300544739, 6.187819235492498e-05, 0.9999676942825317, 0.9983944296836853, 7.969806574692484e-06, 0.0009715358610264957, 3.8124967431940604e-06, 0.0009116111905314028, 0.4306773543357849, 0.5202227234840393, 0.2689392566680908, 0.6584224700927734, 0.25980624556541443, 0.7004169225692749, 0.5514753460884094, 0.23720653355121613, 0.001414443482644856, 0.008080151863396168, 0.9998370409011841, 0.0035655368119478226, 1.2413212971296161e-05, 0.003676031716167927, 1.338773927272996e-06, 0.0033554506953805685]",1010111000101100011101101101100101111011101100000101011000100000,1011101100101100011101111101100100101110101100000001010000100000
"[0.9999998807907104, 0.10225538164377213, 0.9999998807907104, 0.5338243246078491, 1.0, 0.7360475659370422, 1.0, 0.6709152460098267, 6.331751478683145e-08, 0.6618106961250305, 0.9999998807907104, 0.0005633909604512155, 1.0, 0.9999642372131348, 9.812927004304584e-08, 4.502696882013879e-08, 1.9432683018294483e-08, 0.3294532597064972, 0.9999998807907104, 0.4702174663543701, 3.1900406156637473e-06, 0.6365881562232971, 0.9999971389770508, 0.4564865231513977, 8.422158134635538e-05, 0.3293885886669159, 0.0012246269034221768, 0.00023861949739512056, 0.999998927116394, 0.999916672706604, 4.239698370156475e-08, 6.653976743109524e-05, 6.706708433057429e-08, 0.7572733163833618, 0.9999996423721313, 0.5765688419342041, 0.9999902248382568, 0.40808185935020447, 0.9999977350234985, 0.5176622271537781, 6.28158959443681e-05, 0.5609229803085327, 0.9988413453102112, 0.00031401077285408974, 1.419920067746716e-06, 0.9999656677246094, 2.262246567852344e-08, 0.9999808073043823, 0.3451715111732483, 0.6633179783821106, 0.2826854884624481, 0.46740010380744934, 0.38682788610458374, 0.7133422493934631, 0.7113832235336304, 0.6942012310028076, 0.4536422789096832, 0.5167447924613953, 0.984639048576355, 0.9954250454902649, 1.3697647773369681e-05, 0.9959838390350342, 8.488878933121669e-09, 0.9962601661682129]",1011111101101100001001100000110001111011011001010100011101110101,1011101101101100001001100100110001111110011001011100010100110101
"[1.0, 0.08579733222723007, 1.0, 0.3942541182041168, 1.0, 0.7969667911529541, 1.0, 0.5883440971374512, 6.227979937323269e-11, 0.4705421030521393, 1.0, 0.21470068395137787, 1.0, 0.9992485642433167, 3.172137552631682e-11, 2.0519180105038615e-11, 7.759584641497952e-12, 0.2862726151943207, 1.0, 0.5023611187934875, 9.913607712519479e-09, 0.5976125001907349, 1.0, 0.3963601291179657, 3.164980810765883e-08, 0.7600443959236145, 0.9999650716781616, 0.913514256477356, 0.9997128844261169, 0.9997013211250305, 5.589672474881624e-11, 4.289183763717119e-08, 7.18184192671778e-11, 0.6434304118156433, 1.0, 0.7629935145378113, 1.0, 0.5858980417251587, 1.0, 0.6337222456932068, 2.197865711650593e-08, 0.3567807674407959, 5.4188818467082456e-05, 0.8333610892295837, 0.0002635215932969004, 0.9999704360961914, 3.099074816215186e-11, 0.9994619488716125, 0.31692269444465637, 0.5396096706390381, 0.16448748111724854, 0.7990021109580994, 0.5461474061012268, 0.5023353695869446, 0.6436901688575745, 0.6106089949607849, 0.07374846190214157, 0.6624106168746948, 0.7159488201141357, 0.3711284399032593, 0.003210074035450816, 0.0002804007090162486, 1.3949347753283714e-11, 0.0006694017793051898]",1010111100101100001101100111110001111111000101010101111101100000,1010101001101100001001100111110001111110010101010101001001000000
