Test Loss: 0.6746580004692078
Bit-Level Accuracy: 56.67%
prediction,predicted_bits,actual_bits
"[0.5114200115203857, 0.454833060503006, 0.47944507002830505, 0.5829284191131592, 0.39466652274131775, 0.6176333427429199, 0.39239445328712463, 0.6324715614318848, 0.4147687256336212, 0.3827265501022339, 0.5147356390953064, 0.5180246829986572, 0.4835621118545532, 0.22468535602092743, 0.4998325705528259, 0.8649212121963501, 0.47492876648902893, 0.42990052700042725, 0.39308232069015503, 0.6017744541168213, 0.5284108519554138, 0.4913473427295685, 0.4341406524181366, 0.6230416893959045, 0.3565717339515686, 0.4754776060581207, 0.5221593379974365, 0.6017126441001892, 0.4451241195201874, 0.5357819199562073, 0.5632520318031311, 0.524096667766571, 0.3480290174484253, 0.6293975710868835, 0.6037269830703735, 0.40732091665267944, 0.4834786057472229, 0.4542200267314911, 0.3100271224975586, 0.609402596950531, 0.5716408491134644, 0.4574199616909027, 0.3024686276912689, 0.512065052986145, 0.4426419734954834, 0.4444282352924347, 0.3005548417568207, 0.4048908054828644, 0.41611620783805847, 0.39431068301200867, 0.4444383680820465, 0.5750874280929565, 0.5861294865608215, 0.43339285254478455, 0.5356388092041016, 0.5671305060386658, 0.4408116936683655, 0.3649192452430725, 0.520603358745575, 0.5680224895477295, 0.49450331926345825, 0.6433402299880981, 0.3679664134979248, 0.4123493731021881]",1001010100110001000110010011011101100001100100000001101100110100,1101010110111001101111100011110010001000001000010010000100010110
"[0.5607447624206543, 0.5377278923988342, 0.35422295331954956, 0.5100352168083191, 0.5225351452827454, 0.4598684310913086, 0.551328718662262, 0.41229739785194397, 0.6267141699790955, 0.5288862586021423, 0.42999017238616943, 0.38311609625816345, 0.6236073970794678, 0.6657167077064514, 0.5858879089355469, 0.41983410716056824, 0.48972654342651367, 0.4375201165676117, 0.5059903860092163, 0.3748454451560974, 0.5121370553970337, 0.6430982947349548, 0.5646752715110779, 0.4893048405647278, 0.512242317199707, 0.4622124135494232, 0.5946404933929443, 0.44952651858329773, 0.49856504797935486, 0.6777703762054443, 0.44726482033729553, 0.4964005947113037, 0.5950096845626831, 0.4953310787677765, 0.420127809047699, 0.5231881737709045, 0.45685267448425293, 0.45725464820861816, 0.4636138081550598, 0.43988293409347534, 0.5706750154495239, 0.5773558616638184, 0.5604454278945923, 0.55696040391922, 0.4889180064201355, 0.5656753778457642, 0.5986894369125366, 0.468127965927124, 0.5531178712844849, 0.5854104161262512, 0.5767137408256531, 0.5583081841468811, 0.48957812786102295, 0.4971107542514801, 0.5781345367431641, 0.49796661734580994, 0.5500675439834595, 0.6427088975906372, 0.5342286825180054, 0.5095882415771484, 0.6058136820793152, 0.4734163284301758, 0.5899006724357605, 0.5634800791740417]",1101101011001110001011101010010010010000111101101111001011111011,1100010010111100010010000111001100110010011110111011111001011101
"[0.5495288968086243, 0.5564378499984741, 0.42374762892723083, 0.5220568180084229, 0.5286571383476257, 0.4561919867992401, 0.5289188623428345, 0.42614802718162537, 0.5939204096794128, 0.49793195724487305, 0.46116843819618225, 0.4486154317855835, 0.5605340003967285, 0.5769160389900208, 0.5597627758979797, 0.4588605761528015, 0.49353161454200745, 0.4843224287033081, 0.5134066343307495, 0.415804386138916, 0.5143796801567078, 0.5767760872840881, 0.5446973443031311, 0.47454193234443665, 0.5180523991584778, 0.49586769938468933, 0.519370973110199, 0.47262585163116455, 0.509703516960144, 0.6000767350196838, 0.4745449125766754, 0.5179163217544556, 0.561582624912262, 0.5202620029449463, 0.4319269061088562, 0.5165449380874634, 0.47680380940437317, 0.5291792750358582, 0.47240665555000305, 0.43437960743904114, 0.5384702086448669, 0.510493814945221, 0.52583909034729, 0.5583577752113342, 0.4838115870952606, 0.5601981282234192, 0.5226629972457886, 0.494741827249527, 0.5020967721939087, 0.5489855408668518, 0.5165840983390808, 0.5128300189971924, 0.5019344091415405, 0.5009081959724426, 0.5525974035263062, 0.5048792362213135, 0.55152428150177, 0.5859580636024475, 0.46906089782714844, 0.5199615359306335, 0.5528191924095154, 0.4769792854785919, 0.5679904818534851, 0.5414036512374878]",1101101010001110001011101010110111010100111101101111111111011011,0100110111101000010100110011000000101011011101111011101110000110
"[0.5237641334533691, 0.562017023563385, 0.4219386577606201, 0.5378526449203491, 0.508985698223114, 0.4486997723579407, 0.527957558631897, 0.43710312247276306, 0.5705130100250244, 0.49352961778640747, 0.4561188220977783, 0.42680102586746216, 0.5824823379516602, 0.5602983236312866, 0.592317521572113, 0.5455935597419739, 0.45977693796157837, 0.48690229654312134, 0.49231287837028503, 0.4124084413051605, 0.5276644825935364, 0.5932838320732117, 0.5528093576431274, 0.4843538701534271, 0.49141159653663635, 0.4802893400192261, 0.532737672328949, 0.4815838038921356, 0.4897007942199707, 0.6249094605445862, 0.4871689975261688, 0.5128540396690369, 0.5472981929779053, 0.5273244976997375, 0.4367917478084564, 0.4928009808063507, 0.4574390947818756, 0.520379900932312, 0.45571476221084595, 0.44476252794265747, 0.5670939683914185, 0.5359785556793213, 0.49131131172180176, 0.5532531142234802, 0.48154929280281067, 0.5386756658554077, 0.48518067598342896, 0.47657591104507446, 0.4941502809524536, 0.522966206073761, 0.5037001371383667, 0.5083160400390625, 0.5187309384346008, 0.4994424879550934, 0.5747265815734863, 0.5069935917854309, 0.5499019026756287, 0.5598934292793274, 0.48016586899757385, 0.5294161438941956, 0.5740450024604797, 0.5045793652534485, 0.5535019636154175, 0.5529832243919373]",1101101010001111000011100010010111000100110101000111101111011111,0111000011101101111011101111000111011101010001100110111110010111
"[0.5324068069458008, 0.49715808033943176, 0.48852264881134033, 0.6036254167556763, 0.41712847352027893, 0.5241190195083618, 0.3971896767616272, 0.627192497253418, 0.4528750777244568, 0.3874474763870239, 0.49190905690193176, 0.4837970733642578, 0.5165663957595825, 0.2662849426269531, 0.5636146664619446, 0.8456448316574097, 0.4262618124485016, 0.49065425992012024, 0.4039052128791809, 0.5454041957855225, 0.5308125615119934, 0.5003969669342041, 0.482024610042572, 0.5981369018554688, 0.38249748945236206, 0.47474589943885803, 0.4898202121257782, 0.5936439633369446, 0.4838141202926636, 0.5672833919525146, 0.5400838255882263, 0.5029639005661011, 0.35884737968444824, 0.672649621963501, 0.5277754664421082, 0.4100690484046936, 0.49682024121284485, 0.5275669693946838, 0.30636122822761536, 0.5876134037971497, 0.5715758800506592, 0.4235934913158417, 0.3097524046897888, 0.5814659595489502, 0.4461250603199005, 0.45680689811706543, 0.25242194533348083, 0.41752809286117554, 0.38568249344825745, 0.3764330744743347, 0.4265174865722656, 0.5252573490142822, 0.6318485140800476, 0.43210920691490173, 0.5625911951065063, 0.5761070847511292, 0.45443272590637207, 0.43279409408569336, 0.4607066810131073, 0.5860774517059326, 0.5486957430839539, 0.6123560070991516, 0.4464816451072693, 0.4494234025478363]",1001010100001011000111010001011101100101100100000001101100011100,0100011100110001001001110100100111001110110000011000111100100001
"[0.4396507143974304, 0.431062787771225, 0.4957829713821411, 0.5529847741127014, 0.3950798809528351, 0.6668963432312012, 0.426330029964447, 0.5745316743850708, 0.36975324153900146, 0.42809778451919556, 0.5454638600349426, 0.5405457019805908, 0.4821872115135193, 0.23011013865470886, 0.46749719977378845, 0.8559169769287109, 0.49364998936653137, 0.3800821900367737, 0.40388643741607666, 0.619787335395813, 0.5470284223556519, 0.5178819298744202, 0.42156288027763367, 0.6059442162513733, 0.344059556722641, 0.4797046184539795, 0.5580639243125916, 0.5718778967857361, 0.40521055459976196, 0.5236336588859558, 0.5803908109664917, 0.5386590361595154, 0.367576539516449, 0.5197941660881042, 0.6654278039932251, 0.4167869985103607, 0.44467753171920776, 0.3938659131526947, 0.373880535364151, 0.59457927942276, 0.5675818920135498, 0.541788637638092, 0.3190363943576813, 0.39590179920196533, 0.4436100423336029, 0.44475001096725464, 0.40059781074523926, 0.3996333181858063, 0.4711433947086334, 0.42601850628852844, 0.4672378599643707, 0.6018949747085571, 0.4938194751739502, 0.4677819311618805, 0.5187267661094666, 0.5339831709861755, 0.4524616003036499, 0.29919084906578064, 0.5762824416160583, 0.517501175403595, 0.4446060061454773, 0.6535982489585876, 0.3091835379600525, 0.4123798608779907]",0001010100110001000111010011011101100001110000000001001100110100,1011011010110011100001111010101101100000010100110111111110000001
"[0.4958753287792206, 0.42179468274116516, 0.24706387519836426, 0.42722734808921814, 0.5355215072631836, 0.4350288510322571, 0.5822552442550659, 0.3872385621070862, 0.6299363374710083, 0.6779930591583252, 0.3976428210735321, 0.2183791548013687, 0.7606207132339478, 0.8726764917373657, 0.6323094367980957, 0.2051212638616562, 0.4975455403327942, 0.30543166399002075, 0.4830477833747864, 0.27727583050727844, 0.4863471984863281, 0.7753890156745911, 0.5350487232208252, 0.4976503849029541, 0.5583769679069519, 0.39971989393234253, 0.7945986986160278, 0.3425649106502533, 0.4871566891670227, 0.8110359311103821, 0.3762013912200928, 0.40933284163475037, 0.7037167549133301, 0.3310297429561615, 0.45684757828712463, 0.5976570248603821, 0.5045285224914551, 0.22450147569179535, 0.5786188840866089, 0.5238156914710999, 0.5987693667411804, 0.7541598677635193, 0.7299641370773315, 0.45736458897590637, 0.5260817408561707, 0.5360249876976013, 0.8370090126991272, 0.3742101490497589, 0.7281578779220581, 0.61785888671875, 0.7348707914352417, 0.7037037014961243, 0.33445894718170166, 0.5348528027534485, 0.5842054486274719, 0.44256892800331116, 0.4814813435077667, 0.7679333686828613, 0.7915731072425842, 0.43315160274505615, 0.709646463394165, 0.43929189443588257, 0.6215279698371887, 0.6009747385978699]",0000101011001110000001101010010010011011111011101111011001101011,0100011110101100000001100010011100001010001000101011001111001110
"[0.6659265160560608, 0.38402095437049866, 0.47250744700431824, 0.5078757405281067, 0.6179981231689453, 0.5404698252677917, 0.6352428793907166, 0.5728835463523865, 0.7081937193870544, 0.4996184706687927, 0.3743826448917389, 0.4804179072380066, 0.46007025241851807, 0.5294080972671509, 0.2503926753997803, 0.07078193128108978, 0.6248939633369446, 0.2831709384918213, 0.6633091568946838, 0.40074700117111206, 0.43391042947769165, 0.7009086608886719, 0.42891114950180054, 0.5060197710990906, 0.5216962695121765, 0.4241155982017517, 0.6316631436347961, 0.5594965815544128, 0.6042484045028687, 0.5862765908241272, 0.2812628746032715, 0.42314082384109497, 0.47717854380607605, 0.4722121059894562, 0.5490981936454773, 0.6500363945960999, 0.5558664798736572, 0.6038678884506226, 0.5622460246086121, 0.5704367756843567, 0.3620527386665344, 0.3910565972328186, 0.7492474913597107, 0.43795329332351685, 0.5280813574790955, 0.6621578931808472, 0.8373280763626099, 0.4527025818824768, 0.5212811231613159, 0.7090909481048584, 0.7458968162536621, 0.7133337259292603, 0.3096473813056946, 0.4384397566318512, 0.29700949788093567, 0.4656621813774109, 0.441219687461853, 0.876931369304657, 0.5865700244903564, 0.47601908445358276, 0.5346962809562683, 0.30174610018730164, 0.5527215600013733, 0.38533955812454224]",1001111110000100101001011011110000111111001011101111000001101010,1000110011100010101000101101110001000010011011111101100011100100
"[0.5105483531951904, 0.5456076860427856, 0.6423861384391785, 0.4467463493347168, 0.5643303394317627, 0.4399526119232178, 0.5195448398590088, 0.541784405708313, 0.5479419231414795, 0.4635040760040283, 0.5132295489311218, 0.5698027610778809, 0.2943982481956482, 0.3943643867969513, 0.2478240430355072, 0.12453049421310425, 0.6303080916404724, 0.5092372894287109, 0.6430643200874329, 0.5850422382354736, 0.4948767423629761, 0.3575793206691742, 0.33316972851753235, 0.46823400259017944, 0.5999389290809631, 0.6169598698616028, 0.4996947646141052, 0.5506874918937683, 0.5199036598205566, 0.2732440233230591, 0.42987799644470215, 0.4669972360134125, 0.4944562315940857, 0.4497101902961731, 0.5966797471046448, 0.6252608895301819, 0.6563777923583984, 0.6912550330162048, 0.6568202972412109, 0.5527679920196533, 0.3454650342464447, 0.277618944644928, 0.6344959139823914, 0.4638545513153076, 0.5889179706573486, 0.5441790819168091, 0.5504497289657593, 0.5806898474693298, 0.4643598198890686, 0.5238021612167358, 0.5165272355079651, 0.4544828534126282, 0.36366552114486694, 0.5446736812591553, 0.2819947898387909, 0.4044095277786255, 0.45471036434173584, 0.6287171244621277, 0.5171566009521484, 0.44868147373199463, 0.3316151797771454, 0.3321020007133484, 0.4237566292285919, 0.355467289686203]",1110101110110000111100001101100000111111001011110110010001100000,1001011001001000111101000100100011111110101111110100101100100000
"[0.4419565200805664, 0.49192050099372864, 0.3901835083961487, 0.4942408800125122, 0.5155831575393677, 0.4220716953277588, 0.5448616147041321, 0.39102599024772644, 0.5333630442619324, 0.598559558391571, 0.48457109928131104, 0.30030980706214905, 0.6887924671173096, 0.7369157671928406, 0.6616182327270508, 0.45815104246139526, 0.47469064593315125, 0.43625396490097046, 0.47105416655540466, 0.32797467708587646, 0.5045379996299744, 0.6676021218299866, 0.5197518467903137, 0.4694799780845642, 0.552155077457428, 0.4431718587875366, 0.6728456020355225, 0.4025533199310303, 0.45147189497947693, 0.7138622999191284, 0.4791620671749115, 0.4795472025871277, 0.6641149520874023, 0.3842405080795288, 0.4884369671344757, 0.5404571890830994, 0.47384965419769287, 0.32901087403297424, 0.5752108097076416, 0.4748401641845703, 0.5885945558547974, 0.6930269002914429, 0.5922488570213318, 0.4517676532268524, 0.49623391032218933, 0.5187425017356873, 0.6572173833847046, 0.43974384665489197, 0.6429423689842224, 0.4944370985031128, 0.5629951357841492, 0.568923830986023, 0.399199515581131, 0.5627307295799255, 0.5772437453269958, 0.4830297827720642, 0.5289854407310486, 0.552300751209259, 0.6639770269393921, 0.4783795177936554, 0.6336439251899719, 0.5125864744186401, 0.5318499803543091, 0.6104398369789124]",0000101011001110000011101010010010010010111001101011011011101111,1100110100101111011010011011011000110011011111110100011011000111
