rounds,nl,sbox_name,hidden_size,avalanche_effect,is_random,plaintext_type,avg_cos,std_cos,bit_acc,avg_bit_acc,word_acc,total_samples
1,2,nonlinearity_two,128,,False,text,0.9938551125398617,0.009368789058782035,99.34,99.33510638297872,71.63120567375887,141
1,2,nonlinearity_two,256,,False,text,0.9980848732833153,0.005150600229659191,99.81,99.81161347517731,90.0709219858156,141
1,2,nonlinearity_two,512,,False,text,0.9993587576181112,0.0029009022470561792,99.92,99.92242907801419,95.0354609929078,141
1,4,default_sbox,1024,,False,text,0.9995988792053941,0.0019921054248711384,99.94,99.94459219858156,96.45390070921985,141
1,4,default_sbox,128,,False,text,0.9945414684587744,0.009370342932524332,99.43,99.43484042553192,78.01418439716312,141
1,4,default_sbox,256,,False,text,0.9981465770441905,0.005006160745387341,99.8,99.80053191489361,90.78014184397163,141
1,4,default_sbox,512,,False,text,0.999287875672739,0.002994480332779348,99.92,99.92242907801419,95.74468085106383,141
2,0,perfectly_linear,1024,,False,text,0.9990723867573114,0.0036036149749802157,99.91,99.91134751773049,95.0354609929078,141
2,0,perfectly_linear,128,,False,text,0.9883893452166828,0.016030910943207664,98.53,98.52615248226951,59.57446808510638,141
2,0,perfectly_linear,256,,False,text,0.9953031965009902,0.009476812581833914,99.48,99.47916666666667,79.43262411347519,141
2,0,perfectly_linear,512,,False,text,0.998122222424554,0.0059653319465370214,99.75,99.74512411347517,87.94326241134752,141
2,2,nonlinearity_two,1024,,False,text,0.9701361508536193,0.030881888128287138,96.54,96.54255319148936,29.078014184397162,141
2,2,nonlinearity_two,128,,False,text,0.9415865036105076,0.03109984379942387,92.27,92.26507092198581,2.127659574468085,141
2,2,nonlinearity_two,256,,False,text,0.9522799544962798,0.028630841546537056,93.75,93.75,6.382978723404255,141
2,2,nonlinearity_two,512,,False,text,0.9612592016947009,0.03217757613587455,95.36,95.35682624113475,14.893617021276595,141
2,4,default_sbox,1024,,False,text,0.9711406402515566,0.029393506882071183,96.46,96.46498226950355,29.078014184397162,141
2,4,default_sbox,128,,False,text,0.9335130872742498,0.02922751227933117,90.79,90.79122340425532,0.7092198581560284,141
2,4,default_sbox,256,,False,text,0.9435529997530439,0.028608291627058167,92.31,92.30939716312056,0.7092198581560284,141
2,4,default_sbox,512,,False,text,0.9598881657751565,0.02954123526701347,94.99,94.99113475177305,12.76595744680851,141
32,0,perfectly_linear,1024,,False,text,0.8406088718348619,0.032651522620019226,75.3,75.29920212765957,0.0,141
32,0,perfectly_linear,128,,False,text,0.8407317916627817,0.037065274721753395,76.06,76.06382978723404,0.0,141
32,0,perfectly_linear,256,,False,text,0.8406932312360821,0.0331473282579696,75.86,75.86436170212765,0.0,141
32,0,perfectly_linear,512,,False,text,0.8406357797497356,0.029862811978603566,75.86,75.86436170212765,0.0,141
32,2,nonlinearity_two,1024,,False,text,0.7101891790703939,0.042800359811898454,49.82,49.822695035460995,0.0,141
32,2,nonlinearity_two,128,,False,text,0.710204654631156,0.04279389622535061,49.59,49.589982269503544,0.0,141
32,2,nonlinearity_two,256,,False,text,0.7102083220614123,0.0427786001595362,49.5,49.50132978723404,0.0,141
32,2,nonlinearity_two,512,,False,text,0.7101845492067893,0.042808511173620785,49.84,49.844858156028366,0.0,141
32,4,default_sbox,1024,,False,text,0.7060326322568898,0.04307785142022122,49.72,49.7229609929078,0.0,141
